A_mul   B_mul  label
0.9497 -0.0011 0
2.1396 -0.0010 0
1.9894 -0.0012 0
1.6156 -0.0011 0
3.2447 -0.0011 0
0.6211 -0.0012 0
5.9671 -0.0011 0
0.5900 -0.0010 0
0.4503 -0.0011 0
3.3486 -0.0011 0
0.6873 -0.0011 0
0.4817 -0.0011 0
4.6746 -0.0012 0
1.7806 -0.0011 0
0.8239 -0.0011 0
0.8164 -0.0013 0
0.5439 -0.0013 0
0.5313 -0.0013 0
1.0447 -0.0012 0
0.9475 -0.0013 0
0.6282 -0.0013 0
0.9209 -0.0013 0
0.5421 -0.0014 0
0.6306 -0.0013 0
0.4782 -0.0013 0
0.3440 -0.0014 0
0.7449 -0.0013 0
0.2828 -0.0014 0
0.9060 -0.0012 0
0.3867 -0.0013 0
2.8109 -0.0012 0
2.2042 -0.0013 0
3.0909 -0.0013 0
1.5209 -0.0012 0
0.6117 -0.0014 0
1.7854 -0.0012 0
0.5815 -0.0013 0
1.9612 -0.0012 0
0.7276 -0.0013 0
2.4022 -0.0012 0
3.5589 -0.0013 0
0.5947 -0.0013 0
1.6531 -0.0013 0
2.4218 -0.0014 0
0.4559 -0.0016 0
0.2842 -0.0012 0
0.1502 -0.0011 0
0.5468 -0.0012 0
0.0000 -0.0000 0
0.2545 -0.0012 0
0.5732 -0.0012 0
0.3551 -0.0010 0
0.2248 -0.0009 0
0.2558 -0.0012 0
0.2592 -0.0011 0
0.3049 -0.0014 0
0.0827 -0.0012 0
0.2738 -0.0012 0
2.8383 -0.0019 0
0.3846 -0.0013 0
0.2943 -0.0010 0
0.2180 -0.0015 0
0.4787 -0.0015 0
0.4182 -0.0014 0
0.0297 -0.0019 0
0.2013 -0.0016 0
0.6908 -0.0015 0
0.8125 -0.0013 0
0.0762 -0.0021 0
0.2865 -0.0017 0
0.6684 -0.0014 0
0.1825 -0.0023 0
0.7057 -0.0016 0
0.2592 -0.0014 0
0.3909 -0.0015 0
0.3090 -0.0021 0
0.1281 -0.0015 0
0.6667 -0.0015 0
0.3141 -0.0019 0
0.2261 -0.0018 0
0.3689 -0.0015 0
0.0018 -0.0021 0
0.0013 -0.0018 0
0.2224 -0.0016 0
0.5727 -0.0017 0
0.3800 -0.0014 0
0.1772 -0.0013 0
0.3804 -0.0015 0
1.5754 -0.0013 0
0.4057 -0.0015 0
0.2781 -0.0016 0
0.0387 -0.0014 0
0.1361 -0.0012 0
0.0012 -0.0016 0
0.2750 -0.0011 0
0.2497 -0.0011 0
0.5422 -0.0012 0
0.1197 -0.0014 0
0.1804 -0.0012 0
0.3330 -0.0015 0
0.4755 -0.0013 0
1.2288 -0.0013 0
0.5029 -0.0014 0
0.8506 -0.0010 0
0.1834 -0.0010 0
0.3666 -0.0013 0
0.2049 -0.0013 0
0.0835 -0.0017 0
0.1059 -0.0022 0
0.2731 -0.0015 0
0.3664 -0.0014 0
0.5112 -0.0015 0
0.7819 -0.0015 0
0.8924 -0.0015 0
0.2286 -0.0015 0
0.4340 -0.0017 0
0.7748 -0.0013 0
0.5000 -0.0022 0
0.3400 -0.0014 0
0.5192 -0.0015 0
0.2442 -0.0014 0
1.0206 -0.0014 0
0.2396 -0.0015 0
0.2548 -0.0028 0
1.1776 -0.0015 0
0.7914 -0.0014 0
0.8544 -0.0014 0
0.4772 -0.0020 0
0.6343 -0.0014 0
0.7881 -0.0013 0
0.4068 -0.0014 0
0.6111 -0.0019 0
0.3779 -0.0014 0
0.4058 -0.0015 0
0.5799 -0.0021 0
0.2247 -0.0004 0
0.2556 -0.0004 0
0.2399 -0.0004 0
0.1383 -0.0004 0
0.1314 -0.0004 0
0.0736 -0.0004 0
0.0038 -0.0006 0
0.0019 -0.0006 0
0.0014 -0.0006 0
0.0008 -0.0005 0
0.0007 -0.0005 0
0.0299 -0.0007 0
0.0210 -0.0006 0
0.0035 -0.0008 0
