A_sum  B_sum   label
3.0012 -0.3165 0
3.9462 -0.3021 0
3.8496 -0.3203 0
3.5902 -0.3105 0
4.5262 -0.3185 0
2.5956 -0.3222 0
5.5666 -0.3194 0
2.5562 -0.3050 0
2.3323 -0.3144 0
4.5713 -0.3153 0
2.6941 -0.3184 0
2.3845 -0.3199 0
5.1034 -0.3216 0
3.7061 -0.3168 0
2.8608 -0.3154 0
2.8102 -0.3370 0
2.4705 -0.3367 0
2.4476 -0.3312 0
3.0754 -0.3296 0
2.9646 -0.3340 0
2.5893 -0.3360 0
2.9292 -0.3347 0
2.4566 -0.3406 0
2.5849 -0.3370 0
2.3570 -0.3381 0
2.1150 -0.3419 0
2.7342 -0.3386 0
1.9922 -0.3466 0
2.9304 -0.3277 0
2.2030 -0.3344 0
4.2621 -0.3266 0
3.9179 -0.3375 0
4.3761 -0.3376 0
3.4774 -0.3274 0
2.5508 -0.3393 0
3.6854 -0.3290 0
2.5363 -0.3372 0
3.7996 -0.3289 0
2.7209 -0.3331 0
4.0722 -0.3302 0
4.5860 -0.3348 0
2.5492 -0.3375 0
3.5747 -0.3356 0
4.0358 -0.3382 0
2.3713 -0.3503 0
1.9907 -0.3228 0
1.6097 -0.3178 0
2.4672 -0.3304 0
0.0000 -0.0151 0
1.9166 -0.3248 0
2.5025 -0.3224 0
2.1376 -0.3081 0
1.8426 -0.2895 0
1.9207 -0.3285 0
1.9324 -0.3205 0
2.0350 -0.3445 0
1.3135 -0.3296 0
1.9645 -0.3228 0
4.2771 -0.3930 0
2.2134 -0.3390 0
2.0294 -0.3025 0
1.8115 -0.3517 0
2.3506 -0.3549 0
2.2510 -0.3450 0
0.9323 -0.3853 0
1.7656 -0.3555 0
2.6751 -0.3518 0
2.8084 -0.3352 0
1.2745 -0.3960 0
1.9828 -0.3694 0
2.6275 -0.3419 0
1.7111 -0.4196 0
2.6939 -0.3656 0
1.9173 -0.3464 0
2.2080 -0.3505 0
2.0349 -0.4008 0
1.5292 -0.3486 0
2.6212 -0.3517 0
2.0458 -0.3760 0
1.8311 -0.3740 0
2.1620 -0.3462 0
0.3728 -0.3925 0
0.3377 -0.3698 0
1.8210 -0.3589 0
2.5077 -0.3651 0
2.1881 -0.3484 0
1.7122 -0.3387 0
2.2029 -0.3527 0
3.6331 -0.3463 0
2.2376 -0.3510 0
1.9605 -0.3581 0
1.0230 -0.3423 0
1.5511 -0.3233 0
0.3173 -0.3653 0
1.9650 -0.3140 0
1.9035 -0.3135 0
2.4602 -0.3270 0
1.4884 -0.3448 0
1.7087 -0.3311 0
2.0958 -0.3596 0
2.3482 -0.3378 0
3.2225 -0.3368 0
2.3904 -0.3416 0
2.8629 -0.3024 0
1.7230 -0.3082 0
2.1721 -0.3407 0
1.7695 -0.3362 0
1.3247 -0.3679 0
1.4273 -0.4022 0
1.9478 -0.3524 0
2.1508 -0.3411 0
2.4067 -0.3535 0
2.8116 -0.3550 0
2.9319 -0.3540 0
1.8628 -0.3488 0
2.2980 -0.3681 0
2.7749 -0.3388 0
2.4050 -0.4172 0
2.1163 -0.3404 0
2.4311 -0.3516 0
1.8828 -0.3423 0
3.0210 -0.3431 0
1.8863 -0.3557 0
1.9189 -0.4283 0
3.1816 -0.3580 0
2.7928 -0.3446 0
2.8475 -0.3473 0
2.3543 -0.3869 0
2.6074 -0.3435 0
2.8259 -0.3373 0
2.3438 -0.3463 0
2.5950 -0.3732 0
2.1755 -0.3429 0
2.2320 -0.3503 0
2.5029 -0.3878 0
2.1546 -0.2271 0
2.2933 -0.2288 0
2.2303 -0.2271 0
1.7010 -0.2312 0
1.6488 -0.2293 0
1.3667 -0.2316 0
0.5400 -0.2534 0
0.4217 -0.2541 0
0.3928 -0.2552 0
0.4111 -0.2514 0
0.3846 -0.2424 0
1.2591 -0.2639 0
1.0535 -0.2613 0
0.4673 -0.2774 0
0.3913 -0.2760 0
1.2879 -0.2315 0
1.5511 -0.2320 0
1.9374 -0.2309 0
0.6627 -0.2347 0
0.8157 -0.2358 0
0.9479 -0.2332 0
0.1667 -0.2648 0
0.0886 -0.2608 0
0.1333 -0.2761 0
0.1987 -0.2413 0
0.6580 -0.2717 0
0.4454 -0.6987 0
0.0249 -0.1482 0
0.0275 -0.1468 0
1.0320 -0.2323 0
0.9713 -0.2226 0
1.0082 -0.2317 0
0.3823 -0.2402 0
0.2290 -0.2478 0
0.3737 -0.2403 0
0.7736 -0.2412 0
0.6765 -0.2498 0
0.0348 -0.5961 0
0.0976 -0.1999 0
0.4396 -0.2879 0
0.2524 -0.3776 0
0.3136 -0.2563 0
0.1102 -0.3752 0
0.4836 -0.2547 0
0.2683 -0.2572 0
0.5323 -0.2527 0
0.2647 -0.2570 0
0.3616 -0.2552 0
0.4405 -0.2538 0
0.2276 -0.2572 0
0.5831 -0.2516 0
0.2550 -0.2583 0
0.2369 -0.2583 0
0.2832 -0.2569 0
0.2489 -0.2576 0
0.1896 -0.2626 0
0.3003 -0.2537 0
0.2769 -0.2596 0
0.2549 -0.2509 0
0.2812 -0.2533 0
0.1929 -0.2583 0
0.2495 -0.2545 0
0.2106 -0.2660 0
0.3105 -0.2538 0
0.2928 -0.2544 0
0.2096 -0.2647 0
0.2743 -0.2564 0
0.2980 -0.2531 0
0.1967 -0.2559 0
0.3105 -0.2534 0
0.2082 -0.2568 0
0.2118 -0.2603 0
0.0715 -0.2770 0
0.2559 -0.2430 0
0.2522 -0.2431 0
0.0503 -0.2484 0
0.0417 -0.2696 0
0.0651 -0.2595 0
0.0800 -0.2415 0
0.3426 -0.2403 0
0.1643 -0.2567 0
0.1289 -0.2525 0
0.2324 -0.2425 0
0.1083 -0.2881 0
0.0350 -0.2411 0
0.1671 -0.2487 0
1.0104 -0.2758 0
1.4362 -0.2699 0
0.8446 -0.2760 0
1.0775 -0.2754 0
1.2305 -0.2718 0
0.7590 -0.2761 0
0.9272 -0.2762 0
0.9170 -0.2757 0
0.8070 -0.2776 0
1.1379 -0.2719 0
1.1860 -0.2769 0
1.2372 -0.2721 0
0.7970 -0.2722 0
1.1309 -0.2640 0
0.8447 -0.2695 0
0.8323 -0.2611 0
0.9188 -0.2672 0
1.3244 -0.2613 0
0.8500 -0.2743 0
1.0071 -0.2602 0
1.0423 -0.2695 0
0.7986 -0.2642 0
0.8159 -0.2782 0
0.8444 -0.2697 0
0.8444 -0.2679 0
0.8710 -0.2699 0
1.1262 -0.2676 0
0.8846 -0.2626 0
2.4497 -0.2646 0
1.7793 -0.2592 0
0.9878 -0.2650 0
1.2392 -0.2618 0
1.0735 -0.2606 0
1.7008 -0.2574 0
2.0602 -0.2691 0
2.0382 -0.2590 0
1.3027 -0.2664 0
1.5722 -0.2636 0
0.8975 -0.2675 0
1.5473 -0.2612 0
0.6089 -0.2673 0
0.7590 -0.2632 0
0.6191 -0.2703 0
0.7578 -0.2615 0
0.6313 -0.2694 0
0.6205 -0.2708 0
0.7376 -0.2604 0
0.5099 -0.2677 0
0.5924 -0.2723 0
0.7121 -0.2625 0
0.6437 -0.2687 0
0.7742 -0.2680 0
0.6395 -0.2710 0
0.6667 -0.2634 0
0.8790 -0.2635 0
0.6580 -0.2623 0
0.7112 -0.2609 0
1.0417 -0.2617 0
0.9269 -0.2803 0
0.6205 -0.2620 0
0.7257 -0.2603 0
0.7873 -0.2823 0
0.5859 -0.2602 0
0.7483 -0.2557 0
0.5960 -0.2536 0
0.7340 -0.2528 0
0.8202 -0.2594 0
0.8787 -0.2561 0
0.7671 -0.2613 0
0.5680 -0.2598 0
0.6825 -0.2489 0
1.0017 -0.2754 0
0.6464 -0.2511 0
0.5970 -0.2555 0
0.7697 -0.2729 0
0.8457 -0.2533 0
0.7651 -0.2624 0
0.6538 -0.2562 0
0.7211 -0.2642 0
0.7762 -0.2584 0
1.1148 -0.2515 0
0.7954 -0.2643 0
0.7546 -0.2543 0
0.5493 -0.2721 0
0.9062 -0.2535 0
0.1547 -0.3284 0
0.6474 -0.2671 0
0.5126 -0.2751 0
0.9223 -0.2578 0
0.5926 -0.2844 0
0.6894 -0.2610 0
0.4484 -0.2862 0
0.2906 -0.2782 0
0.5031 -0.2689 0
0.7087 -0.2659 0
0.6091 -0.2682 0
0.5329 -0.2691 0
0.8103 -0.2668 0
0.7600 -0.2586 0
0.5386 -0.2765 0
0.6884 -0.2618 0
0.7429 -0.2451 0
1.0897 -0.2451 0
0.9470 -0.2482 0
1.0193 -0.2481 0
0.9116 -0.2479 0
0.7474 -0.2676 0
1.2339 -0.2513 0
0.6220 -0.2488 0
0.1095 -0.2727 0
0.2422 -0.2520 0
0.5338 -0.2714 0
0.5475 -0.2869 0
0.5717 -0.3047 0
0.7485 -0.2491 0
0.4793 -0.2802 0
0.6979 -0.2579 0
1.1347 -0.2501 0
0.7753 -0.2754 0
1.1680 -0.2458 0
0.7551 -0.7958 0
0.2955 -0.2894 0
0.8679 -0.2882 0
0.7867 -0.2547 0
0.5902 -0.5770 0
0.2440 -0.1704 0
0.3196 -0.1727 0
0.2642 -0.1690 0
0.3135 -0.1733 0
0.2190 -0.1695 0
0.2220 -0.1687 0
0.2019 -0.1676 0
0.2405 -0.1701 0
0.2229 -0.1678 0
0.2489 -0.1722 0
0.2169 -0.1693 0
0.2209 -0.1695 0
0.1847 -0.1663 0
0.2026 -0.1688 0
0.2390 -0.1688 0
0.3663 -0.1505 0
0.3988 -0.1514 0
0.3149 -0.1446 0
0.3824 -0.1513 0
0.3371 -0.1472 0
0.3946 -0.1398 0
0.4257 -0.1454 0
0.2704 -0.1448 0
0.3867 -0.1441 0
0.3609 -0.1472 0
