name	x	y	z
cepPiva	1.1423	1.1098	0.7491
cepPiva	1.0114	0.9787	0.679
cepPiva	0.8995	0.8671	0.6211
cepPiva	0.8026	0.7707	0.5726
cepPiva	0.7182	0.6874	0.5311
cepPiva	0.6441	0.6145	0.4948
cepPiva	0.5792	0.5509	0.4628
cepPiva	0.5223	0.4954	0.4361
cepPiva	0.4686	0.4432	0.406
cepPiva	0.4244	0.4004	0.3845
cepPiva	0.3845	0.3619	0.3625
cepPiva	0.3485	0.3273	0.3413
cepPiva	0.3173	0.2974	0.3224
cepPiva	0.2888	0.2703	0.3045
cepPiva	0.2641	0.2468	0.2884
cepPiva	0.2526	0.2359	0.2806
cepPiva	0.2123	0.198	0.2521
cepPiva	0.1798	0.1675	0.2271
cepPiva	0.1534	0.1429	0.2049
cepPiva	0.1317	0.1228	0.1853
cepPiva	0.1138	0.1062	0.1678
cepPiva	0.0988	0.0924	0.1521
cepPiva	0.0863	0.0808	0.138
cepPiva	0.0757	0.071	0.1252
cepPiva	0.0667	0.0629	0.1138
cepPiva	0.0589	0.0557	0.1035
cepPiva	0.0523	0.0495	0.0941
cepPiva	0.0466	0.0442	0.0857
cepPiva	0.0416	0.0396	0.078
cepPiva	0.0372	0.0356	0.0711
cepPiva	0.0334	0.032	0.0648
cepPiva	0.03	0.029	0.0591
cepPiva	0.0271	0.0262	0.0539
cepPiva	0.0245	0.0238	0.0492
cepPiva	0.0221	0.0216	0.0449
cepPiva	0.0201	0.0197	0.0411
cepPiva	0.0182	0.0179	0.0375
cepPiva	0.0166	0.0163	0.0343
cepPiva	0.0151	0.015	0.0313
cepPiva	0.0138	0.0137	0.0287
cepPiva	0.0127	0.0127	0.0262
cepPiva	0.0116	0.0117	0.0239
cepPiva	0.0107	0.0108	0.0219
cepPiva	0.0098	0.01	0.02
cepPiva	0.0092	0.0093	0.0183
cepPiva	0.0085	0.0086	0.0168
cepPiva	0.0079	0.0081	0.0154
cepPiva	0.0073	0.0075	0.0141
cepPiva	0.0068	0.007	0.0129
cepPiva	0.0064	0.0066	0.0118
cepPiva	0.006	0.0062	0.0108
cepPiva	0.0056	0.0058	0.0099
cepPiva	0.0052	0.0055	0.0091
cepPiva	0.0049	0.0051	0.0084
cepPiva	0.0047	0.005	0.0076
cepPiva	0.0044	0.0046	0.007
cepPiva	0.0041	0.0044	0.0065
cepPiva	0.004	0.0042	0.0059
cepPiva	0.0038	0.004	0.0054
cepPiva	0.0036	0.0038	0.005
cepPiva	0.0035	0.0037	0.0046
cepPiva	0.0033	0.0036	0.0042
cepPiva	0.0031	0.0034	0.0039
cepPiva	0.003	0.0032	0.0036
cepPiva	0.0029	0.0031	0.0033
cepPiva	0.0027	0.003	0.0031
cepPiva	0.0027	0.0029	0.0028
cepPiva	0.0026	0.0028	0.0026
cepPiva	0.0025	0.0027	0.0024
cepPiva	0.0025	0.0026	0.0022
cepPiva	0.0024	0.0026	0.0021
cepPiva	0.0023	0.0025	0.0019
cepPiva	0.0022	0.0024	0.0018
cepPiva	0.0021	0.0024	0.0017
cepPiva	0.002	0.0023	0.0015
cepPiva	0.0021	0.0022	0.0015
cepPiva	0.0019	0.0022	0.0014
cepPiva	0.002	0.0021	0.0013
cepPiva	0.0019	0.002	0.0012
cepPiva	0.0018	0.002	0.0011
cepPiva	0.0017	0.0019	0.001
cepPiva	0.0017	0.0019	0.001
cepPiva	0.0016	0.0018	0.0009
cepPiva	0.0016	0.0018	0.0008
cepPiva	0.0016	0.0017	0.0008
cepPiva	0.0015	0.0017	0.0007
cepPiva	0.0015	0.0016	0.0007
cepPiva	0.0015	0.0017	0.0007
cepPiva	0.0015	0.0016	0.0006
cepPiva	0.0014	0.0015	0.0006
cepPiva	0.0014	0.0015	0.0006
cepPiva	0.0014	0.0015	0.0005
cepPiva	0.0013	0.0015	0.0005
cepPiva	0.0013	0.0014	0.0005
cepPiva	1.427	1.5549	0.9643
cepPiva	1.2579	1.3866	0.8736
cepPiva	1.1137	1.2437	0.7983
cepPiva	0.9895	1.1215	0.735
cepPiva	0.8823	1.0157	0.6807
cepPiva	0.7888	0.9234	0.6334
cepPiva	0.7069	0.8422	0.5915
cepPiva	0.6348	0.7724	0.5571
cepPiva	0.5678	0.7021	0.518
cepPiva	0.5119	0.6477	0.4912
cepPiva	0.4623	0.596	0.4628
cepPiva	0.4176	0.5484	0.4357
cepPiva	0.379	0.5068	0.4115
cepPiva	0.3441	0.4684	0.3886
cepPiva	0.3139	0.4347	0.3678
cepPiva	0.2999	0.4188	0.3578
cepPiva	0.2512	0.3625	0.3212
cepPiva	0.2121	0.3157	0.2891
