Ax      Bx     Ay      By     Az      Bz     label
1.1423 -0.1184 1.1098 -0.1196 0.7491 -0.0785 0
1.4270 -0.1213 1.5549 -0.1016 0.9643 -0.0792 0
1.4856 -0.1189 1.4230 -0.1222 0.9411 -0.0792 0
1.3198 -0.1174 1.3892 -0.1136 0.8812 -0.0795 0
1.6155 -0.1229 1.7862 -0.1162 1.1244 -0.0793 0
0.9949 -0.1222 0.9280 -0.1214 0.6727 -0.0786 0
1.9897 -0.1243 2.2352 -0.1157 1.3417 -0.0794 0
0.7905 -0.1058 1.0646 -0.1192 0.7011 -0.0801 0
0.8241 -0.1191 0.6050 -0.0786 0.9031 -0.1166 0
1.6608 -0.1193 1.7738 -0.1165 1.1366 -0.0795 0
1.0474 -0.1145 0.9706 -0.1263 0.6761 -0.0776 0
0.9330 -0.1186 0.8279 -0.1228 0.6236 -0.0784 0
1.7982 -0.1248 2.0152 -0.1172 1.2900 -0.0795 0
1.3658 -0.1190 1.4263 -0.1188 0.9140 -0.0789 0
1.0598 -0.1199 1.0836 -0.1168 0.7174 -0.0787 0
0.9618 -0.1311 0.8507 -0.0803 0.9978 -0.1256 0
0.9512 -0.1255 0.6870 -0.0810 0.8323 -0.1303 0
0.9406 -0.1223 0.6999 -0.0813 0.8071 -0.1276 0
1.2193 -0.1194 0.8610 -0.0808 0.9950 -0.1294 0
1.1299 -0.1270 0.8625 -0.0803 0.9722 -0.1267 0
1.0089 -0.1232 0.7485 -0.0808 0.8319 -0.1320 0
1.0059 -0.1304 0.8651 -0.0792 1.0581 -0.1251 0
0.8163 -0.1353 0.7275 -0.0808 0.9128 -0.1244 0
0.9823 -0.1247 0.7873 -0.0801 0.8154 -0.1322 0
0.8671 -0.1257 0.6862 -0.0811 0.8036 -0.1313 0
0.7906 -0.1266 0.6036 -0.0816 0.7208 -0.1338 0
1.0368 -0.1244 0.8067 -0.0819 0.8906 -0.1323 0
0.7748 -0.1336 0.5347 -0.0819 0.6827 -0.1311 0
1.1315 -0.1242 0.8082 -0.0776 0.9906 -0.1259 0
0.7417 -0.1300 0.6187 -0.0799 0.8427 -0.1245 0
1.2274 -0.0774 1.6279 -0.1209 1.4068 -0.1283 0
1.1733 -0.0821 1.4401 -0.1259 1.3045 -0.1295 0
1.4111 -0.0826 1.5689 -0.1275 1.3961 -0.1275 0
0.9942 -0.0793 1.3502 -0.1217 1.1330 -0.1264 0
0.7835 -0.0824 0.8787 -0.1306 0.8886 -0.1264 0
0.9778 -0.0778 1.2707 -0.1279 1.4369 -0.1233 0
0.6665 -0.0807 0.9757 -0.1290 0.8941 -0.1275 0
1.0388 -0.0783 1.5129 -0.1229 1.2479 -0.1277 0
0.7578 -0.0801 1.0392 -0.1261 0.9240 -0.1269 0
1.0719 -0.0768 1.5969 -0.1275 1.4034 -0.1259 0
1.4371 -0.0803 1.6234 -0.1232 1.5255 -0.1313 0
0.8914 -0.1287 0.9702 -0.1285 0.6876 -0.0802 0
1.3779 -0.1233 1.0162 -0.0854 1.1806 -0.1269 0
1.3134 -0.0859 1.4557 -0.1231 1.2667 -0.1291 0
0.5553 -0.0979 0.8494 -0.1258 0.9666 -0.1266 0
0.5542 -0.0785 0.6636 -0.1259 0.7728 -0.1183 0
0.4426 -0.0788 0.6164 -0.1155 0.5506 -0.1235 0
0.9383 -0.1204 0.8054 -0.1312 0.7235 -0.0789 0
0.0000 -0.0069 0.0000 -0.0080 0.0000 -0.0002 0
0.6846 -0.1235 0.7034 -0.1228 0.5286 -0.0785 0
0.7538 -0.0787 0.9386 -0.1171 0.8101 -0.1265 0
0.7376 -0.1145 0.7928 -0.1144 0.6073 -0.0792 0
0.6422 -0.0851 0.7014 -0.1209 0.4991 -0.0834 0
0.7345 -0.1206 0.6529 -0.1292 0.5333 -0.0788 0
0.7495 -0.1181 0.6544 -0.1240 0.5285 -0.0784 0
0.7821 -0.1226 0.6776 -0.1431 0.5753 -0.0788 0
0.4875 -0.1220 0.4445 -0.1289 0.3815 -0.0786 0
0.5482 -0.0784 0.7542 -0.1183 0.6621 -0.1261 0
1.6075 -0.1241 1.4613 -0.0807 1.2083 -0.1882 0
0.9195 -0.1185 0.6621 -0.1411 0.6318 -0.0794 0
0.6857 -0.1158 0.8207 -0.1081 0.5230 -0.0786 0
0.6603 -0.1353 0.5424 -0.0838 0.6088 -0.1326 0
0.8206 -0.1411 0.7209 -0.0818 0.8092 -0.1320 0
0.8122 -0.1276 0.6681 -0.0827 0.7707 -0.1347 0
0.2971 -0.1554 0.2894 -0.0872 0.3458 -0.1427 0
0.6655 -0.1345 0.5524 -0.0848 0.5477 -0.1363 0
0.8910 -0.1398 0.7491 -0.0792 1.0350 -0.1328 0
1.0375 -0.1278 0.8558 -0.0804 0.9152 -0.1271 0
0.4643 -0.1436 0.3954 -0.0865 0.4148 -0.1660 0
0.7116 -0.1393 0.5977 -0.0827 0.6735 -0.1474 0
0.8521 -0.1325 0.8273 -0.0808 0.9481 -0.1287 0
0.5541 -0.1927 0.5059 -0.0874 0.6511 -0.1395 0
0.8169 -0.1509 0.8086 -0.0784 1.0685 -0.1363 0
0.7014 -0.1289 0.6048 -0.0818 0.6112 -0.1358 0
0.6376 -0.1407 0.7254 -0.0808 0.8450 -0.1290 0
0.6283 -0.1816 0.6500 -0.0829 0.7566 -0.1363 0
0.4983 -0.1318 0.6081 -0.1262 0.4228 -0.0905 0
0.8822 -0.0806 0.8506 -0.1393 0.8884 -0.1318 0
0.7318 -0.1259 0.7058 -0.1420 0.6082 -0.1080 0
0.5603 -0.0919 0.6224 -0.1515 0.6484 -0.1306 0
0.7030 -0.1304 0.8159 -0.1303 0.6431 -0.0854 0
0.0952 -0.0942 0.1284 -0.1597 0.1492 -0.1386 0
0.0755 -0.1010 0.1248 -0.1410 0.1373 -0.1277 0
0.5678 -0.0839 0.6567 -0.1379 0.5965 -0.1371 0
0.7062 -0.0968 0.8798 -0.1370 0.9218 -0.1313 0
0.6172 -0.0810 0.8211 -0.1323 0.7498 -0.1351 0
0.6724 -0.1267 0.6022 -0.1314 0.4375 -0.0807 0
0.5737 -0.0878 0.7935 -0.1349 0.8357 -0.1300 0
1.6389 -0.1317 1.1784 -0.1438 0.8158 -0.0707 0
0.6321 -0.0813 0.8540 -0.1362 0.7516 -0.1335 0
0.6989 -0.1386 0.6294 -0.0853 0.6322 -0.1342 0
0.4044 -0.1122 0.3175 -0.1496 0.3012 -0.0805 0
0.4448 -0.0790 0.5531 -0.1210 0.5532 -0.1233 0
0.1132 -0.1300 0.0985 -0.1554 0.1056 -0.0798 0
0.7349 -0.1157 0.6788 -0.1194 0.5513 -0.0788 0
0.7314 -0.1135 0.6315 -0.1212 0.5406 -0.0788 0
0.8484 -0.1276 0.9079 -0.1209 0.7040 -0.0785 0
0.5636 -0.1226 0.5012 -0.1439 0.4236 -0.0782 0
